track_name,artist(s)_name,,,,in_spotify_playlists,streams,released_year
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",,,,553,141381703,14/07/23
LALA,Myke Towers,,,,1474,133716286,23/03/23
vampire,Olivia Rodrigo,,,,1397,140003974,30/06/23
Cruel Summer,Taylor Swift,,,,7858,800840817,23/08/19
WHERE SHE GOES,Bad Bunny,,,,3133,303236322,18/05/23
Sprinter,"Dave, Central Cee",,,,2186,183706234,01/06/23
Ella Baila Sola,"Eslabon Armado, Peso Pluma",,,,3090,725980112,16/03/23
Columbia,Quevedo,,,,714,58149378,07/07/23
fukumean,Gunna,,,,1096,95217315,15/05/23
La Bebe - Remix,"Peso Pluma, Yng Lvcas",,,,2953,553634067,17/03/23
un x100to,"Bad Bunny, Grupo Frontera",,,,2876,505671438,17/04/23
Super Shy,NewJeans,,,,422,58255150,07/07/23
Flowers,Miley Cyrus,,,,12211,1316855716,12/01/23
Daylight,David Kushner,,,,3528,387570742,14/04/23
As It Was,Harry Styles,,,,23575,2513188493,31/03/22
Kill Bill,SZA,,,,8109,1163093654,08/12/22
Cupid - Twin Ver.,Fifty Fifty,,,,2942,496795686,24/02/23
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,,,,873,30546883,13/07/23
Classy 101,"Feid, Young Miko",,,,2610,335222234,31/03/23
Like Crazy,Jimin,,,,596,363369738,24/03/23
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",,,,332,86444842,22/06/23
I Can See You (Taylor���s Version) (From The ,Taylor Swift,,,,516,52135248,07/07/23
I Wanna Be Yours,Arctic Monkeys,,,,12859,1297026226,01/01/13
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",,,,1313,200647221,31/05/23
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",,,,1945,115364561,02/06/23
SABOR FRESA,Fuerza Regida,,,,250,78300654,22/06/23
Calm Down (with Selena Gomez),"R��ma, Selena G",,,,7112,899183384,25/03/22
MOJABI GHOST,"Tainy, Bad Bunny",,,,859,61245289,29/06/23
Last Night,Morgan Wallen,,,,2420,429829812,31/01/23
Dance The Night (From Barbie The Album),Dua Lipa,,,,2988,127408954,25/05/23
Rush,Troye Sivan,,,,864,22581161,13/07/23
TULUM,"Peso Pluma, Grupo Frontera",,,,266,52294266,28/06/23
Creepin',"The Weeknd, 21 Savage, Metro Boomin",,,,6036,843957510,02/12/22
Anti-Hero,Taylor Swift,,,,9082,999748277,21/10/22
TQG,"Karol G, Shakira",,,,4284,618990393,23/02/23
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",,,,1150,123122413,01/06/23
Fr��gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",,,,672,188933502,07/04/23
Blank Space,Taylor Swift,,,,11434,1355959075,01/01/14
Style,Taylor Swift,,,,7830,786181836,01/01/14
TQM,Fuerza Regida,,,,584,176553476,19/05/23
El Azul,"Junior H, Peso Pluma",,,,692,354495408,10/02/23
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",,,,24094,2808096550,09/10/18
I'm Good (Blue),"Bebe Rexha, David Guetta",,,,12482,1109433169,26/08/22
See You Again,"Tyler, The Creator, Kali Uchis",,,,13387,1047101291,21/07/17
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",,,,1117,65156199,23/06/23
Angels Like You,Miley Cyrus,,,,3372,570515054,27/11/20
I Ain't Worried,OneRepublic,,,,8431,1085685420,13/05/22
Die For You,The Weeknd,,,,2483,1647990401,24/11/16
Starboy,"The Weeknd, Daft Punk",,,,29536,2565529693,21/09/16
Die For You - Remix,"Ariana Grande, The Weeknd",,,,3408,518745108,24/02/23
El Cielo,"Feid, Myke Towers, Sky Rompiendo",,,,1298,107753850,02/06/23
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",,,,4277,177740666,06/04/23
AMARGURA,Karol G,,,,1133,153372011,24/02/23
(It Goes Like) Nanana - Edit,Peggy Gou,,,,2259,57876440,15/06/23
Another Love,Tom Odell,,,,18371,1813673666,15/10/12
Blinding Lights,The Weeknd,,,,43899,3703895074,29/11/19
Moonlight,Kali Uchis,,,,2649,256483385,24/02/23
La Bachata,Manuel Turizo,,,,6804,1214083358,26/05/22
S91,Karol G,,,,525,16011326,14/07/23
cardigan,Taylor Swift,,,,7923,812019557,24/07/20
T��,"dennis, MC Kevin o Chris",,,,731,111947664,04/05/23
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",,,,5184,156338624,03/02/23
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",,,,3107,720434240,24/06/22
BESO,"Rauw Alejandro, ROSAL�",,,,4053,357925728,24/03/23
Hey Mor,"Ozuna, Feid",,,,4637,674072710,06/10/22
Yellow,Chris Molitor,,,,31358,1755214421,01/01/99
Karma,Taylor Swift,,,,3818,404562836,21/10/22
People,Libianca,,,,3506,373199958,02/12/22
Overdrive,Post Malone,,,,410,14780425,14/07/23
Enchanted (Taylor's Version),Taylor Swift,,,,148,39578178,07/07/23
BABY HELLO,"Rauw Alejandro, Bizarrap",,,,1004,54266102,23/06/23
Heat Waves,Glass Animals,,,,22543,2557975762,28/06/20
golden hour,JVKE,,,,4511,751134527,15/07/22
Sweater Weather,The Neighbourhood,,,,16413,2282771485,14/05/12
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",,,,8506,1356565093,06/07/22
Viva La Vida,Coldplay,,,,33898,1592909789,01/01/08
Here With Me,d4vd,,,,3246,635412045,17/07/22
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",,,,8576,1230675890,22/09/22
Yandel 150,"Yandel, Feid",,,,3618,585695368,20/12/22
CORAZ��N VA,Maria Becerra,,,,370,43857627,22/06/23
Riptide,Vance Joy,,,,31123,2009094673,01/01/75
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",,,,2790,600976848,22/04/22
Novidade na ��,"Mc Livinho, DJ Matt D",,,,267,39709092,23/06/23
Back To December (Taylor's Version),Taylor Swift,,,,139,39228929,07/07/23
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",,,,17050,2665343922,09/07/21
El Merengue,"Marshmello, Manuel Turizo",,,,2114,223633238,03/03/23
Someone You Loved,Lewis Capaldi,,,,17836,2887241814,08/11/18
Me Porto Bonito,"Chencho Corleone, Bad Bunny",,,,8870,1440757818,06/05/22
Makeba,Jain,,,,6060,165484133,22/06/15
MONTAGEM - FR PUNK,"Ayparia, unxbected",,,,641,58054811,20/06/12
Fast Car,Luke Combs,,,,1446,157058870,24/03/23
What It Is (Solo Version),Doechii,,,,804,95131998,17/03/23
Coco Chanel,"Bad Bunny, Eladio Carrion",,,,1962,250305248,17/03/23
Don���t Bl,Taylor Swift,,,,4875,685032533,08/11/17
Still With You,Jung Kook,,,,31,38411956,05/06/20
All My Life (feat. J. Cole),"J. Cole, Lil Durk",,,,2175,144565150,12/05/23
Say Yes To Heaven,Lana Del Rey,,,,2000,127567540,17/03/23
Snooze,SZA,,,,2839,399686758,09/12/22
Summertime Sadness,Lana Del Rey,,,,20333,983637508,01/01/11
Take Two,BTS,,,,674,118482347,09/06/23
Lover,Taylor Swift,,,,8448,882831184,01/01/12
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",,,,2110,286400165,02/12/22
Chemical,Post Malone,,,,2528,172825906,14/04/23
Mockingbird,Eminem,,,,12985,1241559043,01/01/04
New Jeans,NewJeans,,,,77,29562220,07/07/23
Primera Cita,Carin Leon,,,,266,77309611,20/04/22
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",,,,21097,1605224506,10/11/17
Dandelions,Ruth B.,,,,3423,1116995633,28/04/17
Bones,Imagine Dragons,,,,4198,838079900,11/03/21
Set Fire to the Rain,Adele,,,,14739,1163620694,01/01/11
Money Trees,"Kendrick Lamar, Jay Rock",,,,26792,1093605526,01/01/12
Tak Segampang Itu,Anggi Marito,,,,213,179659294,02/12/22
LAGUNAS,"Jasiel Nu��ez, Peso P",,,,58,39058561,22/06/23
Mine (Taylor's Version),Taylor Swift,,,,99,36912123,07/07/23
Everybody Wants To Rule The World,Tears For Fears,,,,41751,1205951614,17/02/85
No Role Modelz,J. Cole,,,,21164,1791000570,09/12/14
Tattoo,Loreen,,,,2988,201660859,25/02/23
Rara Vez,"Taiu, Milo j",,,,893,248088961,08/02/23
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Be��",,,,1094,90839753,12/05/23
august,Taylor Swift,,,,7324,607123776,24/07/20
LUNA,"Junior H, Peso Pluma",,,,201,55842345,22/06/23
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",,,,5120,211050784,10/03/23
Nonsense,Sabrina Carpenter,,,,2346,342897938,15/07/22
Que Vuelvas,"Carin Leon, Grupo Frontera",,,,763,2762,09/12/22
Por las Noches,Peso Pluma,,,,457,330346424,11/06/21
Feliz Cumplea��os Fe,Feid,,,,3430,601863821,19/08/22
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",,,,6074,1953533826,16/08/11
Watermelon Sugar,Harry Styles,,,,21915,2322580122,17/11/19
lovely - Bonus Track,"Billie Eilish, Khalid",,,,15032,2355719893,11/08/17
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",,,,871,66902503,21/06/23
Queencard,(G)I-DLE,,,,451,96273746,15/05/23
OMG,NewJeans,,,,1783,430977451,02/01/23
Radio,Lana Del Rey,,,,9389,284819874,01/01/11
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",,,,5724,721975598,11/01/23
505,Arctic Monkeys,,,,13985,1217120710,20/04/07
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",,,,1051,109276132,02/06/23
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",,,,1682,276259178,02/12/22
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",,,,182,54225632,22/05/23
Perfect,Ed Sheeran,,,,16596,2559529074,01/01/17
Romantic Homicide,d4vd,,,,2335,681583126,20/07/22
Believer,Imagine Dragons,,,,18986,2594040133,31/01/17
Novo Balan�,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",,,,283,81102253,19/05/23
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",,,,293,11956641,01/06/23
Without Me,Eminem,,,,21081,1687664027,01/01/02
QUEMA,"Sog, Ryan Castro, Peso Pluma",,,,437,11599388,13/07/23
Stargirl Interlude,"The Weeknd, Lana Del Rey",,,,1275,611700552,24/11/16
Ojitos Lindos,"Bomba Est��reo, Bad B",,,,6135,1133865788,06/05/22
Somewhere Only We Know,Keane,,,,20015,1089402494,01/01/04
Those Eyes,New West,,,,1507,411747614,10/05/19
El Gordo Trae El Mando,Chino Pacas,,,,539,255932395,27/01/23
Mi Bello Angel,Natanael Cano,,,,86,31873544,30/06/23
Bye,Peso Pluma,,,,324,95053634,26/05/23
Danza Kuduro,"Don Omar, Lucenzo",,,,17138,1279434863,01/01/10
Nosso Quadro,"Ana Castela, AgroPlay",,,,894,233801632,02/02/23
Locked Out Of Heaven,Bruno Mars,,,,1622,1481349984,05/12/12
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",,,,561,142095275,04/04/23
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",,,,5871,618885532,17/06/22
Counting Stars,OneRepublic,,,,29215,2011464183,01/01/13
Ghost,Justin Bieber,,,,5866,1167330737,19/03/21
Under The Influence,Chris Brown,,,,3859,929964809,04/10/19
PRC,"Natanael Cano, Peso Pluma",,,,961,436027885,23/01/23
Gasolina,Daddy Yankee,,,,6457,657723613,13/07/04
One Dance,"Drake, WizKid, Kyla",,,,43257,2713922350,04/04/16
Enchanted,Taylor Swift,,,,4564,621660989,01/01/10
Save Your Tears,The Weeknd,,,,12688,1591223784,20/03/20
Sure Thing,Miguel,,,,13801,950906471,25/05/10
Every Breath You Take - Remastered 2003,The Police,,,,22439,1593270737,06/01/83
The Night We Met,Lord Huron,,,,18515,1410088830,02/02/15
We Found Love,"Rihanna, Calvin Harris",,,,36843,1235005533,01/01/11
When I Was Your Man,Bruno Mars,,,,2420,1661187319,05/12/12
Let Me Down Slowly,Alec Benjamin,,,,5897,1374581173,25/05/18
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",,,,727,94186466,02/06/23
Do I Wanna Know?,Arctic Monkeys,,,,33783,1788326445,01/01/13
Demons,Imagine Dragons,,,,26694,1840364617,01/01/12
������������,YOASOBI,,,,356,143573775,12/04/23
Reminder,The Weeknd,,,,6518,684675814,25/11/16
Shake It Off,Taylor Swift,,,,21335,1113838873,01/01/14
Why'd You Only Call Me When You're High?,Arctic Monkeys,,,,23389,1267333350,01/01/13
SNAP,Rosa Linn,,,,3202,726307468,19/03/22
Shape of You,Ed Sheeran,,,,32181,3562543890,06/01/17
Night Changes,One Direction,,,,7124,1131090940,17/11/14
Fin de Semana,"Oscar Maydon, Junior H",,,,592,307370144,13/01/23
Creep,Radiohead,,,,36724,1271293243,21/09/92
Car's Outside,James Arthur,,,,794,265882712,18/10/19
Apocalypse,Cigarettes After Sex,,,,13091,841749534,21/03/17
Cheques,Shubh,,,,67,47956378,19/05/23
Pink + White,Frank Ocean,,,,21574,806397070,20/08/16
Circles,Post Malone,,,,19664,2132335812,30/08/19
Just The Way You Are,Bruno Mars,,,,21106,1641426668,01/01/10
Take Me To Church,Hozier,,,,23804,2135158446,13/09/13
Bebe Dame,"Fuerza Regida, Grupo Frontera",,,,849,367316268,16/12/22
You Belong With Me (Taylor���s Ve,Taylor Swift,,,,2619,350381515,09/04/21
Titi Me Pregunt�,Bad Bunny,,,,9037,1264310836,06/05/22
Better Than Revenge (Taylor's Version),Taylor Swift,,,,86,30343206,07/07/23
Shut up My Moms Calling,Hotel Ugly,,,,1788,405136812,10/02/20
Have You Ever Seen The Rain?,Creedence Clearwater Revival,,,,15890,1145727611,01/07/68
Es un Secreto,Plan B,,,,492,540654286,20/07/10
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",,,,773,57312735,08/06/23
Ditto,NewJeans,,,,1154,397582059,19/12/22
Take On Me,a-ha,,,,44927,1479115056,19/10/84
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",,,,551,86773632,02/06/23
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",,,,577,133753727,01/05/23
Acr��s,Shakira,,,,955,123124076,11/05/23
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",,,,995,463564958,24/11/22
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",,,,178,64533040,15/05/23
S-Class,Stray Kids,,,,290,65496046,02/06/23
Hits Different,Taylor Swift,,,,547,68616963,26/05/23
Chanel,"Becky G, Peso Pluma",,,,681,161460990,30/03/23
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",,,,332,70106975,02/06/23
Area Codes,"Kaliii, Kaliii",,,,1197,113509496,17/03/23
Abcdario,"Junior H, Eden Mu��",,,,262,89933133,13/05/23
Obsessed,"Abhijay Sharma, Riar Saab",,,,161,71007139,29/09/22
Pi��man De�,"Semicenk, Do��u ",,,,185,43522589,02/06/23
FLOWER,JISOO,,,,839,232896922,31/03/23
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",,,,259,37126685,02/06/23
Eyes Closed,Ed Sheeran,,,,2915,195576623,23/03/23
Escapism.,"RAYE, 070 Shake",,,,5129,532336353,12/10/22
La Jumpa,"Arcangel, Bad Bunny",,,,3794,538115192,30/11/22
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",,,,588,46142772,26/05/23
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",,,,2959,401036314,02/12/22
Las Morras,"BLESSD, Peso Pluma",,,,291,127026613,04/04/23
CHORRITO PA LAS ANIMAS,Feid,,,,2321,345031710,02/12/22
Ch y la Pizza,"Fuerza Regida, Natanael Cano",,,,536,288101651,01/12/22
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",,,,359,60350538,26/05/23
Players,Coi Leray,,,,4096,335074782,30/11/22
Bite Me,ENHYPEN,,,,349,76767396,22/05/23
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",,,,381,46065667,26/05/23
Normal,Feid,,,,2461,459276435,08/07/22
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",,,,277,39666245,02/06/23
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",,,,967,138517666,01/03/23
Bad Habit,Steve Lacy,,,,8186,822633917,29/06/22
CUFF IT,Beyonc�,,,,7842,595900742,29/07/22
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",,,,215,51985779,05/06/23
69,"Nicky Jam, Feid",,,,1134,57945987,18/05/23
Ni��a Bo,"Sean Paul, Feid",,,,1305,115010040,21/04/23
Search & Rescue,Drake,,,,2066,175097833,07/04/23
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyonc�",,,,896,57089066,19/05/23
Lavender Haze,Taylor Swift,,,,3763,488386797,21/10/22
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",,,,197,32761689,02/06/23
Efecto,Bad Bunny,,,,4004,1047480053,06/05/22
Erro Gostoso - Ao Vivo,Simone Mendes,,,,984,153454328,27/01/23
Cupido,Tini,,,,1240,217672943,14/02/23
Just Wanna Rock,Lil Uzi Vert,,,,3995,457184829,17/10/22
Unstoppable,Sia,,,,7681,939844851,21/01/16
Until I Found You,Stephen Sanchez,,,,4427,726434358,01/09/21
Rich Flex,"Drake, 21 Savage",,,,4657,573633020,04/11/22
Easy On Me,Adele,,,,10195,1406111294,14/10/21
Cart��o B,"MC Caverinha, KayBlack",,,,269,71573339,11/05/23
Danger (Spider) (Offset & JID),"Offset, JID",,,,214,24975653,02/06/23
Oi Balde - Ao Vivo,Z�� Neto & Crist,,,,845,145458418,14/02/23
The Real Slim Shady,Eminem,,,,20763,1424589568,01/01/00
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",,,,1267,231332117,16/12/22
The Color Violet,Tory Lanez,,,,2585,415932686,10/12/21
Glimpse of Us,Joji,,,,6330,988515741,10/06/22
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",,,,675,50847624,04/05/23
Curtains,Ed Sheeran,,,,715,39893489,05/05/23
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",,,,327,92035115,01/05/23
Haegeum,Agust D,,,,244,118810253,21/04/23
Conex��es de M��fia (feat. Rich ,"Rich The Kid, Matu�",,,,385,77233241,30/04/23
MIENTRAS ME CURO DEL CORA,Karol G,,,,1020,206399629,24/02/23
Never Felt So Alone,Labrinth,,,,1730,117747907,07/04/23
X SI VOLVEMOS,"Karol G, Romeo Santos",,,,2127,266624541,02/02/23
ceilings,Lizzy McAlpine,,,,3242,293186992,08/04/22
Cupid,Fifty Fifty,,,,526,139681964,24/02/23
I AM,IVE,,,,366,123132751,10/04/23
Cupid ��� Twin Ver. (FIFTY FIFTY) ��� Spe,sped up 8282,,,,472,103762518,01/01/97
Shorty Party,"Cartel De Santa, La Kelly",,,,432,162887075,04/03/23
Super,SEVENTEEN,,,,271,91221625,24/04/23
Slut Me Out,NLE Choppa,,,,816,190490915,22/04/22
Double Fantasy (with Future),"The Weeknd, Future",,,,1169,96180277,21/04/23
All Of The Girls You Loved Before,Taylor Swift,,,,1282,185240616,23/08/19
PROVENZA,Karol G,,,,6587,885093467,21/04/22
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",,,,1444,104992946,14/04/23
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",,,,356,147290338,03/02/23
Shivers,Ed Sheeran,,,,10147,1302184087,09/09/21
Igualito a Mi Ap�,"Fuerza Regida, Peso Pluma",,,,265,158950978,30/12/22
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",,,,351,76910644,25/04/23
Komang,Raim Laode,,,,158,137123880,16/08/22
DESPECH�,ROSAL�,,,,7613,782369383,28/07/22
Made You Look,Meghan Trainor,,,,3956,502574952,21/10/22
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",,,,1638,207033255,05/02/23
No Se Va,Grupo Frontera,,,,924,404887295,28/04/22
Punto G,Quevedo,,,,1985,381161027,04/11/22
Lovers Rock,TV Girl,,,,6339,466231982,05/06/14
METAMORPHOSIS,INTERWORLD,,,,1561,357580552,25/11/21
Mami Chula,"Quevedo, Jhayco",,,,875,61105704,27/04/23
En Paris,"El Chachito, Junior H",,,,406,198275403,24/12/22
Set Me Free Pt.2,Jimin,,,,340,168448603,17/03/23
I Was Never There,"The Weeknd, Gesaffelstein",,,,4188,705469769,29/03/18
Don't ever say love me (feat. RM of BTS),"RM, Colde",,,,105,34502215,04/05/23
Shut Down,BLACKPINK,,,,1524,482175240,16/09/22
Gato de Noche,"Nengo Flow, Bad Bunny",,,,2651,304118600,22/12/22
Call Out My Name,The Weeknd,,,,11087,1449799467,29/03/18
Like Crazy (English Version),Jimin,,,,373,173627354,24/03/23
Rosa Pastel,"Jasiel Nu��ez, Peso P",,,,200,90025258,02/02/23
Sunroof,"Nicky Youre, Dazy",,,,3741,652704649,03/12/21
Lose Yourself - Soundtrack Version,Eminem,,,,32502,1829992958,01/01/02
Superman,"Eminem, Dina Rae",,,,7615,655466831,26/05/02
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",,,,1208,146409671,02/03/23
People Pt.2 (feat. IU),"IU, Agust D",,,,209,95816024,07/04/23
REMIX EXCLUSIVO,Feid,,,,1235,117206995,17/03/23
"Arc��ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",,,,654,100409613,22/03/23
DOGTOOTH,"Tyler, The Creator",,,,1479,80758350,27/03/23
10:35,"Ti��sto, Tate M",,,,4942,325592432,01/11/22
SORRY NOT SORRY,"Tyler, The Creator",,,,709,58473276,31/03/23
HAPPY,NF,,,,660,52722996,25/03/23
La Bebe,Yng Lvcas,,,,489,191945597,24/12/21
I Know - PR1SVX Edit,"Kanii, PR1ISVX",,,,407,77377503,24/03/23
Late Night Talking,Harry Styles,,,,7461,743693613,20/05/22
Le�,Mar��lia Mendo,,,,993,267789608,09/12/22
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",,,,9161,1221813483,20/03/20
Something in the Orange,Zach Bryan,,,,3282,449701773,22/04/22
VOID,Melanie Martinez,,,,596,67070410,29/03/23
